Country,ISO,Latitude,Longitude,Beach,Species,IDN,ID_MJ,MPA_NAME,COUNTRY_2,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y
Mozambique,MZ,-11.000000000000000,40.689999999999998,Rongui Island and Vamizi Island,Eretmochelys imbricata,"72","0",Vamizi Island,Mozambique,Mozambique,Marine Reserve,Working,Local,LMMA,"2006",Not described,Fishing community council with support from WWF,Undetermined,Added,"18",70.78470000000,32.78740000000,40.70770000000,-11.00140000000
Mozambique,MZ,-23.791467000000001,35.510767000000001,Tofo,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-25.138000000000002,33.684199999999997,Xai-Xai,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-24.768000000000001,34.762000000000000,Zavala,Caretta caretta,,,,,,,,,,,,,,,,,,,
Mozambique,MZ,-24.515999999999998,35.201999999999998,Zavora,Caretta caretta,,,,,,,,,,,,,,,,,,,
Réunion,RE,-21.132999999999999,55.549999999999997,All island,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Réunion,RE,-21.109725999999998,55.758960000000002,Réunion Island,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-9.395590000000000,46.512701999999997,Aldabra Islands,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-9.395590000000000,46.512701999999997,Aldabra Islands,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-5.419000000000000,53.335999999999999,Amirantes,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.685680000000000,55.456299999999999,"Anse Barbarons, West Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.685680000000000,55.456299999999999,"Anse Barbarons, West Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.800230000000000,55.512911000000003,Anse Bazarca,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
