ogc_fid,pxlval,ID,OBJECTID_1,EEZ,Country,Sovereign,Remarks,Sov_ID,EEZ_ID,ISO_3digit,MRGID,Date_chang,Area_m2,Longitude,Latitude,join_aream2
167612.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,26053.2183
167613.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,32717.9389
167614.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,16964.8357
167615.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,605.8855
167616.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,58770.7616
167617.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,1817.6477
167618.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,43623.4366
167619.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,32716.6209
167620.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,1211.6611
167621.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,4240.7886
167622.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,33320.5248
167623.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,43617.6540
167624.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,2423.1985
167625.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,97532.9431
167626.00000000000,"1","31","23",Seychellois Exclusive Economic Zone,Seychelles,Seychelles,,"31","31",SYC,8337.000000000000000,,1337930914000.000000000000000,52.481504996509997,52.481504996509997,107223.0602
492364.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,6292.3407
492365.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,1143.9775
492366.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,1715.9287
492367.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,175023.5410
492368.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,571.9575
492369.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,42896.8421
