IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,ogc_fid,pxlval,area_m2,int_aream2_2016
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462778.00000000000,"1",16868.8628,16868.8628
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462855.00000000000,"1",3614.4489,3614.4489
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462780.00000000000,"1",3614.7398,3614.7398
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462790.00000000000,"1",1204.8997,1204.8997
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462791.00000000000,"1",34942.0218,34942.0218
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462792.00000000000,"1",81932.9238,81932.9238
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462894.00000000000,"1",65058.0068,12994.9147
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462793.00000000000,"1",10844.0004,3819.3050
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462895.00000000000,"1",3011.9309,3011.9309
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462787.00000000000,"1",46991.3575,22.4132
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462897.00000000000,"1",36143.2425,36143.2425
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462903.00000000000,"1",22288.2222,18846.0764
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462776.00000000000,"1",15061.5498,15061.5498
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462880.00000000000,"1",3034305.0889,112149.7714
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462862.00000000000,"1",6626.4607,6626.4607
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462864.00000000000,"1",3614.4308,3614.4308
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462799.00000000000,"1",1347066.9553,137312.5421
"38","74",Jojibaki,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,Marine Parks and Reserves Unit (MPRU),Undetermined,"Overlaps w/ FID 34 & 35, part of BMU?","0",277.07200000000,93.80420000000,39.73030000000,-7.67162000000,462800.00000000000,"1",983186.2147,417915.1809
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272814.00000000000,"1",1170100.6839,1109592.2309
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272756.00000000000,"1",12622.2931,10317.3646
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272815.00000000000,"1",600.9582,600.9582
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272816.00000000000,"1",87138.6917,87138.6917
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272817.00000000000,"1",5407.8710,5407.8710
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272827.00000000000,"1",3673800.6499,2015077.5540
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272753.00000000000,"1",5409.5659,5409.5659
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272723.00000000000,"1",601.2621,231.0381
