ogc_fid,pxlval,IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,int_area_m2_2016
533600.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,675.878
533601.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,44.349
533602.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,365.897
533603.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,1545.206
533605.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,0.347
533607.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,2091.044
533611.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,331.765
533613.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,0.011
533614.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,0.000
533615.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,991.887
533616.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,410.298
533618.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,0.028
533619.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,0.021
533620.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,2798.442
533628.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,484.381
533629.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,592.904
533631.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,0.000
533635.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,43.405
533636.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,15.553
533638.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,27104.885
533639.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,0.010
533640.00000000000,"1","79","424",Mayotte,France,Mayotte,Maritime public domain (Conservatoire du littoral),Working,National,National,"2010",Not described,Not described,Undetermined,Updated name and polygon,"0",2052.24000000000,484.24800000000,45.14530000000,-12.80270000000,0.001
543237.00000000000,"1","50","89",Quirimbas,Mozambique,Mozambique,National Park,Working,National,National,"2002",Multiple,MITADER and ANAC,V,,"1185",8890.89000000000,562.23300000000,40.04430000000,-12.52300000000,2571.257
