"","species","pu","amount"
"505",3,14961,0.000537196504703723
"506",3,14964,0.0355991201545331
"507",3,1497,0.00164065161267552
"508",3,14970,0.00271919675898552
"509",3,1498,0.0225386773196477
"510",3,14984,0.0250289139031865
"511",3,14987,0.00564833637396514
"512",3,14989,0.00128720750701381
"513",3,14999,0.0293964144582486
"514",3,1500,0.000822016391112469
"515",3,15020,0.0621074308842371
"516",3,15025,0.0168593430180051
"517",3,15027,0.0275865197686479
"518",3,15056,0.00866360478812782
"519",3,15066,0.0143415335594234
"520",3,15067,0.0125356785041315
"521",3,15075,0.000569250637869351
"522",3,15078,0.0435806625668469
"523",3,15088,0.0176730812341925
"524",3,15089,0.0480628083169786
"525",3,15109,0.0538679383574538
"526",3,1511,0.0061439589974517
"527",3,15121,0.0166532457035515
"528",3,15125,0.00609993970036122
"529",3,1513,0.052532376756921
"530",3,15138,0.062400994133207
"531",3,15139,0.042319288870886
"532",3,15144,0.017315333776124
"533",3,15156,0.0368085039841667
"534",3,15158,0.0612239782921543
"535",3,15197,0.00393581821245886
"536",3,15204,0.0231591105781809
"537",3,15209,0.000124882285004482
"538",3,15217,0.00605031846655253
"539",3,15241,0.00222149745949171
"540",3,15243,0.0339379790525581
"541",3,15247,0.0621190349991545
"542",3,15261,0.0228356651424269
"543",3,15269,0.044506109461395
"544",3,15271,0.000538388320399885
"545",3,15273,0.00880202369175642
"546",3,15281,4.52214059357066e-05
"547",3,15289,0.0220339061481806
"548",3,15300,0.057895388495513
"549",3,15304,0.0184169377507674
"550",3,1532,0.0113633106275755
"551",3,15334,0.0283117555152943
"552",3,15357,0.0496741502524541
"553",3,15363,0.0258947095961635
"554",3,15364,0.0306790793063901
"555",3,15366,0.0166012739058475
"556",3,15375,0.00643405623367429
"557",3,15379,0.0508625716577506
"558",3,1538,0.00953696990363002
"559",3,15390,0.0304154250844988
"560",3,15400,0.0040535622553248
"561",3,15412,0.00453831027392145
"562",3,15413,0.00598099501245865
"563",3,15419,5.55016024643555e-06
"564",3,15433,0.017931984189156
"565",3,15474,0.0142523228012025
"566",3,15475,0.00168498854848091
"567",3,15485,0.0505356272671409
"568",3,155,0.0612970699291358
"569",3,15503,0.0517862271870698
"570",3,15511,0.0110804894721395
"571",3,15536,0.0421311364215463
"572",3,15539,0.010720968156944
"573",3,15542,0.00926464745391486
"574",3,15547,0.0316372239024309
"575",3,15552,0.0411471448579598
"576",3,1559,0.055649306472117
"577",3,15595,0.0485619763431589
"578",3,156,0.000179291658260161
"579",3,15614,0.0582787138485922
"580",3,15624,0.00743708247228945
"581",3,15632,0.0439299357888654
"582",3,15636,0.00901325302456754
"583",3,15638,0.0438792729001015
"584",3,15650,0.0324950827292365
"585",3,15661,0.00489847401551763
"586",3,15668,0.0624999999953968
"587",3,15682,0.0544062081122201
"588",3,15684,5.18936202157929e-05
"589",3,15694,0.0248309939617333
"590",3,15704,0.0250073285279649
"591",3,15706,5.71881023747846e-05
"592",3,15723,0.0190233250797277
"593",3,15725,0.0508141854296661
"594",3,15738,0.00395638359786989
"595",3,15746,0.0567583692972995
"596",3,15755,0.0158718976874599
"597",3,15757,0.0275415230337126
"598",3,15763,0.043452942554208
