ogc_fid,pxlval,COUNTRY,COUNTRYAFF,int_aream2
7746.00000000000,"1",MOZAMBIQUE,Mozambique,2263.290
7747.00000000000,"1",MOZAMBIQUE,Mozambique,4697.609
7749.00000000000,"1",MOZAMBIQUE,Mozambique,2348.779
7750.00000000000,"1",MOZAMBIQUE,Mozambique,1174.377
7751.00000000000,"1",MOZAMBIQUE,Mozambique,21726.018
7752.00000000000,"1",MOZAMBIQUE,Mozambique,587.185
7753.00000000000,"1",MOZAMBIQUE,Mozambique,2348.728
7754.00000000000,"1",MOZAMBIQUE,Mozambique,587.181
7755.00000000000,"1",MOZAMBIQUE,Mozambique,587.179
7756.00000000000,"1",MOZAMBIQUE,Mozambique,25835.891
7757.00000000000,"1",MOZAMBIQUE,Mozambique,4697.414
7758.00000000000,"1",MOZAMBIQUE,Mozambique,7046.132
7761.00000000000,"1",MOZAMBIQUE,Mozambique,29358.663
7763.00000000000,"1",MOZAMBIQUE,Mozambique,109670.311
7764.00000000000,"1",MOZAMBIQUE,Mozambique,8220.369
7765.00000000000,"1",MOZAMBIQUE,Mozambique,2348.663
7766.00000000000,"1",MOZAMBIQUE,Mozambique,1174.328
7767.00000000000,"1",MOZAMBIQUE,Mozambique,18789.269
7768.00000000000,"1",MOZAMBIQUE,Mozambique,38234.198
7771.00000000000,"1",MOZAMBIQUE,Mozambique,19963.341
7772.00000000000,"1",MOZAMBIQUE,Mozambique,17027.482
7773.00000000000,"1",MOZAMBIQUE,Mozambique,2348.612
7774.00000000000,"1",MOZAMBIQUE,Mozambique,24073.100
7775.00000000000,"1",MOZAMBIQUE,Mozambique,12330.095
7776.00000000000,"1",MOZAMBIQUE,Mozambique,1510388.271
7777.00000000000,"1",MOZAMBIQUE,Mozambique,59888.578
7778.00000000000,"1",MOZAMBIQUE,Mozambique,2348.556
7779.00000000000,"1",MOZAMBIQUE,Mozambique,8219.954
7780.00000000000,"1",MOZAMBIQUE,Mozambique,1589475.894
7781.00000000000,"1",MOZAMBIQUE,Mozambique,1761.408
7782.00000000000,"1",MOZAMBIQUE,Mozambique,8807.008
7783.00000000000,"1",MOZAMBIQUE,Mozambique,82786.914
7785.00000000000,"1",MOZAMBIQUE,Mozambique,7045.574
7786.00000000000,"1",MOZAMBIQUE,Mozambique,41686.381
7787.00000000000,"1",MOZAMBIQUE,Mozambique,37576.427
7788.00000000000,"1",MOZAMBIQUE,Mozambique,3522.758
7789.00000000000,"1",MOZAMBIQUE,Mozambique,175469.128
7790.00000000000,"1",MOZAMBIQUE,Mozambique,1761.367
7791.00000000000,"1",MOZAMBIQUE,Mozambique,66932.214
7792.00000000000,"1",MOZAMBIQUE,Mozambique,36988.422
7793.00000000000,"1",MOZAMBIQUE,Mozambique,5871.076
7794.00000000000,"1",MOZAMBIQUE,Mozambique,2348.429
7795.00000000000,"1",MOZAMBIQUE,Mozambique,521847.183
7796.00000000000,"1",MOZAMBIQUE,Mozambique,3522.610
7797.00000000000,"1",MOZAMBIQUE,Mozambique,1761.292
7798.00000000000,"1",MOZAMBIQUE,Mozambique,5571898.525
7799.00000000000,"1",MOZAMBIQUE,Mozambique,1761.275
7800.00000000000,"1",MOZAMBIQUE,Mozambique,587.091
7801.00000000000,"1",MOZAMBIQUE,Mozambique,2348.362
7802.00000000000,"1",MOZAMBIQUE,Mozambique,4109.482
7803.00000000000,"1",MOZAMBIQUE,Mozambique,3522.362
7805.00000000000,"1",MOZAMBIQUE,Mozambique,4109.314
7806.00000000000,"1",MOZAMBIQUE,Mozambique,1174.075
7807.00000000000,"1",MOZAMBIQUE,Mozambique,29351.649
7808.00000000000,"1",MOZAMBIQUE,Mozambique,4696.225
7809.00000000000,"1",MOZAMBIQUE,Mozambique,357488.704
7810.00000000000,"1",MOZAMBIQUE,Mozambique,6457.185
7811.00000000000,"1",MOZAMBIQUE,Mozambique,4109.121
7812.00000000000,"1",MOZAMBIQUE,Mozambique,5283.145
7813.00000000000,"1",MOZAMBIQUE,Mozambique,12327.264
7814.00000000000,"1",MOZAMBIQUE,Mozambique,1761.038
7815.00000000000,"1",MOZAMBIQUE,Mozambique,66333.013
7816.00000000000,"1",MOZAMBIQUE,Mozambique,817571.212
7817.00000000000,"1",MOZAMBIQUE,Mozambique,18784.359
7818.00000000000,"1",MOZAMBIQUE,Mozambique,31698.573
7819.00000000000,"1",MOZAMBIQUE,Mozambique,5283.044
7820.00000000000,"1",MOZAMBIQUE,Mozambique,3522.020
7821.00000000000,"1",MOZAMBIQUE,Mozambique,3522.017
7822.00000000000,"1",MOZAMBIQUE,Mozambique,5869.980
7823.00000000000,"1",MOZAMBIQUE,Mozambique,1173.996
7824.00000000000,"1",MOZAMBIQUE,Mozambique,586.991
7825.00000000000,"1",MOZAMBIQUE,Mozambique,24066.660
7826.00000000000,"1",MOZAMBIQUE,Mozambique,39328.413
7827.00000000000,"1",MOZAMBIQUE,Mozambique,1173.977
7828.00000000000,"1",MOZAMBIQUE,Mozambique,21131.527
7829.00000000000,"1",MOZAMBIQUE,Mozambique,57524.489
7830.00000000000,"1",MOZAMBIQUE,Mozambique,28175.012
7831.00000000000,"1",MOZAMBIQUE,Mozambique,4108.825
